Ligand SMILES,Affinity_nM
Cn1cc(Nc2nc(N[C@@H]3CCN(C3)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 4.0
Cn1cc(Nc2nc(N[C@H]3CN(C[C@@H]3F)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1, 3.0
CC(C)n1cnc2c(Nc3cnn(C)c3)nc(N[C@@H]3CCN(C3)C(=O)C=C)nc12, 105
CC(C)n1cnc2c(Nc3cnn(C)c3)nc(N[C@H]3CN(C[C@@H]3F)C(=O)C=C)nc12, 56
CC(C)n1cnc2c(Nc3cn(C)nc3C)nc(nc12)N1C[C@@H](F)[C@@H](C1)NC(=O)C=C, 17
CCc1nn(C)cc1Nc1nc(nc2n(cnc12)C(C)C)N1C[C@@H](F)[C@@H](C1)NC(=O)C=C, 19
CC(C)n1cnc2c(Nc3ccc(cc3)N3CCN(C)CC3)nc(N[C@H]3CCN(C3)C(C)=O)nc12, 161
CN1CCN(CCCOc2cccc(CC(=O)Nc3nc(cs3)-c3c[nH]c4ncccc34)c2)CC1,>10000
O=C(Cc1cccc(OCCCC2CCNCC2)c1)Nc1nc(cs1)-c1c[nH]c2ncccc12,>2000
CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(cs2)-c2c[nH]c3ncccc23)c1,>10000
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CCC(C)(C3)C(N)=O)cc12, 681
CO[C@H]1CCN(C[C@@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 1840
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 1080
CCC(C)n1cnc2cnc(Nc3ccnc(n3)N3CCC(CC3)OC)cc12, 14
COC1(CN(C)C)CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 492
C[C@@H](O)c1nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc2n1[C@H](C)C(F)(F)F, 6.0
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C2CCCC2)n1, 20
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C2CCC2)n1, 48
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C2CCOC2)n1, 149
COC1(CO)CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 24
CC(C)n1c(C)nc2cnc(Nc3ccnc(NCC(C)(C)C(N)=O)n3)cc12, 22
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 2.7
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)C(F)(F)C3)cc12, 9.5
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n([C@H](C)C(F)(F)F)c(nc3cn2)[C@@H](C)O)n1, 1.1
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 875
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 19
CC(C)n1c(C)nc2cnc(Nc3ccnc(\C=C\C(C)(C)C(N)=O)n3)cc12,>1500
CC(C)n1c(C)nc2cnc(Nc3ccnc(\C=C\C(C)(C)O)n3)cc12,>2500
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 150
CO[C@H]1CCN(CC1(F)F)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 249
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)C(F)(F)C3)cc12,>403
CO[C@H]1CCN(C[C@@H]1F)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 540
COC1CCN(CC1)c1nccc(Nc2cc3[nH]cnc3cn2)n1, 329
CCn1cnc2cnc(Nc3ccnc(n3)N3CCC(CC3)OC)cc12, 201
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C(C)C)n1, 40
CCC(C)n1cnc2cnc(Nc3ccnc(n3)N3CCC(CC3)OC)cc12, 14.0
CCC(C)n1cnc2cnc(Nc3ccnc(n3)N3CCC(CC3)OC)cc12, 17.0
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C2CCCCC2)n1, 18
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C2CCOCC2)n1, 76
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CCC(CC3)S(C)(=O)=O)cc12, 64
COCC1(CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1)OC, 77
COC1(CCO)CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 50
COC1(CCN)CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 28
CC(C)n1c(C)nc2cnc(Nc3ccnc(SCC(C)(C)C(N)=O)n3)cc12, 658
CC(C)n1c(C)nc2cnc(Nc3ccnc(\C=C\C(C)(C)C(N)=O)n3)cc12, 196
CC(C)n1c(C)nc2cnc(Nc3ccnc(\C=C\C(C)(C)O)n3)cc12, 323
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 19
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 13
CO[C@H]1CCN(C[C@@H]1F)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 57
C[C@@H](O)c1nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc2n1[C@H](C)C(F)(F)F, 2.5
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n([C@H](C)C(F)(F)F)c(nc3cn2)[C@@H](C)O)n1, 7.0
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n([C@H](C)C(F)(F)F)c(nc3cn2)[C@@H](C)O)n1, 122
CC(C)n1c(CO)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12,>0.530000
CC(C)n1c(C)nc2cnc(Nc3ccnc(SCC(C)(C)C(N)=O)n3)cc12,>2500
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CCC(O)CC3)cc12, 34
CC(C)n1c(C)nc2cnc(Nc3ccnc(OCC(C)(C)S(C)(=O)=O)n3)cc12, 2100
C[C@@H](O)c1nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc2n1[C@H](C)C(F)(F)F, 313
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C(C)C(F)(F)F)n1, 27
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CCC(C)(C3)C(N)=O)cc12, 124
CC(C)n1c(C)nc2cnc(Nc3ccnc(OCC(C)(C)C(N)=O)n3)cc12, 196
COC1CCN(CC1)c1nccc(Nc2cc3[nH]cnc3cn2)n1, 1200
CC(C)n1c(C)nc2cnc(Nc3ccnc(NCC(C)(C)C(N)=O)n3)cc12, 390
CC(C)n1c(CO)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 16
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 4.3
COC1CCN(CC1)c1nccc(Nc2cc3n(cnc3cn2)C2CC2)n1, 87
COC1CCN(CC1)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 400
CO[C@H]1CCN(CC1(F)F)c1nccc(Nc2cc3n(C(C)C)c(CO)nc3cn2)n1, 7.4
CO[C@H]1CCN(C[C@@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 44
CC(C)n1cnc2cnc(Nc3ccnc(n3)N3CCC(CC3)C(N)=O)cc12, 151
CC(C)n1c(C)nc2cnc(Nc3ccnc(OCC(C)(C)C(N)=O)n3)cc12,>440
CC(C)n1c(C)nc2cnc(Nc3ccnc(OCC(C)(C)S(C)(=O)=O)n3)cc12, 52
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 910
COC1CCN(CC1)c1nccc(Nc2cc3n(CC(F)(F)F)cnc3cn2)n1, 71
CC(C)n1c(C)nc2cnc(Nc3ccnc(NCC(C)(C)S(C)(=O)=O)n3)cc12, 38
CC(C)n1c(C)nc2cnc(Nc3ccnc(NCC(C)(C)S(C)(=O)=O)n3)cc12, 1820
Cn1nccc1-c1nc2c(COC2(C)C)c(Nc2n[nH]c3ccccc23)n1, 34
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1, 3.0
COc1cc(Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)ccc1N1CCN(CC1)C(C)=O, 22
COc1cc(Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)ccc1N1CCN(CC1)C(C)=O, 22
COc1cc(Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)ccc1N1CCN(CC1)C(C)=O, 303
COc1cc(Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)ccc1N1CCN(CC1)C(C)=O, 303
COc1cc(N2CCOCC2)c(NC(=O)C=C)cc1Nc1nccc(n1)-n1cc(CN(C)C)c(n1)-c1ccccc1, 271
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12, 434
COc1ccc(NC(=O)C=C)cc1Nc1cc(ccn1)-c1[nH]c(SC)nc1-c1ccc(F)cc1, 99
COc1cc(N2CCOCC2)c(NC(=O)C=C)cc1Nc1nccc(n1)-n1cc(CN(C)C)c(n1)-c1ccccc1, 34
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12, 256
COc1ccc(NC(=O)C=C)cc1Nc1cc(ccn1)-c1[nH]c(SC)nc1-c1ccc(F)cc1, 224
Nc1nc(Nc2ccc(COc3cccc(F)c3)cc2)c2c(n1)[nH]c1ccc(O)cc21, 170
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 13
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 3.6
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(C)(=O)=O)cc12, 18
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 4.1
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(CC4CC4)c3)cc12, 34
CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.1
COC1CCN(CC1)c1nccc(Nc2cc3n(cc(C(N)=O)c3cn2)C(C)C)n1, 5.3
COC1CCN(CC1)c1nccc(Nc2cc3n(nc(C(N)=O)c3cn2)C(C)C)n1, 29
CC(C)n1cc(C(=O)NC2COC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.1
CC(C)n1cc(C(=O)NC2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.2
CC(C)n1nc(N)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 0.790000
CC(C)n1nc(N2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 2.1
CC(C)n1nc(N2CCC(O)CC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.2
CC(C)n1nc(N2CC(CO)C2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12,<0.600000
CC(C)n1nc(N2CC(C2)C(C)(C)O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12,<0.600000
CC(C)c1nn(C(C)C)c2cc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)ncc12, 24
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 43
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 41
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(C)(=O)=O)cc12, 3.5
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.8
CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 0.350000
COC1CCN(CC1)c1nccc(Nc2cc3n(cc(C(N)=O)c3cn2)C(C)C)n1, 27
CC(C)n1cc(C(=O)NC2COC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 2.0
CC(C)n1cc(C(=O)NC2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.6
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 1100
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 608
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(C)(=O)=O)cc12, 126
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 43
CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 4.1
COC1CCN(CC1)c1nccc(Nc2cc3n(cc(C(N)=O)c3cn2)C(C)C)n1, 363
CC(C)n1cc(C(=O)NC2COC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 6.4
CC(C)n1cc(C(=O)NC2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 3.8
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 1300
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 1800
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(C)(=O)=O)cc12, 38
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 12
CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.2
COC1CCN(CC1)c1nccc(Nc2cc3n(cc(C(N)=O)c3cn2)C(C)C)n1, 323
CC(C)n1cc(C(=O)NC2COC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 2.0
CC(C)n1cc(C(=O)NC2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 1.4
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)N3CC[C@H](O)[C@H](F)C3)cc12, 905
CO[C@H]1CCN(C[C@H]1F)c1nccc(Nc2cc3n(C(C)C)c(C)nc3cn2)n1, 896
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(C)(=O)=O)cc12, 324
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 55
CC(C)n1c(C)nc2cnc(Nc3ccnc(n3)-c3cnn(CC4CC4)c3)cc12, 1200
CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 7.8
COC1CCN(CC1)c1nccc(Nc2cc3n(cc(C(N)=O)c3cn2)C(C)C)n1, 167
COC1CCN(CC1)c1nccc(Nc2cc3n(nc(C(N)=O)c3cn2)C(C)C)n1,>100
CC(C)n1cc(C(=O)NC2COC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 4.6
CC(C)n1cc(C(=O)NC2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 3.4
CC(C)n1nc(N)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 8.2
CC(C)n1nc(N2CCOCC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 10.0
CC(C)n1nc(N2CCC(O)CC2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 5.5
CC(C)n1nc(N2CC(CO)C2)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 2.0
CC(C)n1nc(N2CC(C2)C(C)(C)O)c2cnc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)cc12, 7.0
CC(C)c1nn(C(C)C)c2cc(Nc3ccnc(n3)-c3cnn(c3)S(=O)(=O)C3CC3)ncc12,<531
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1, 16
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1, 6.4
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1, 26
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1, 2.5
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1, 11
